================================================================================
process logger: Sun Apr 28 11:53:56 2019
================================================================================

{'pid': 1, 'vms': 117.22265625, 'name': 'systemd', 'username': 'root'}
{'pid': 2, 'vms': 0.0, 'name': 'kthreadd', 'username': 'root'}
{'pid': 3, 'vms': 0.0, 'name': 'ksoftirqd/0', 'username': 'root'}
{'pid': 5, 'vms': 0.0, 'name': 'kworker/0:0H', 'username': 'root'}
{'pid': 7, 'vms': 0.0, 'name': 'rcu_sched', 'username': 'root'}
{'pid': 8, 'vms': 0.0, 'name': 'rcu_bh', 'username': 'root'}
{'pid': 9, 'vms': 0.0, 'name': 'migration/0', 'username': 'root'}
{'pid': 10, 'vms': 0.0, 'name': 'watchdog/0', 'username': 'root'}
{'pid': 11, 'vms': 0.0, 'name': 'watchdog/1', 'username': 'root'}
{'pid': 12, 'vms': 0.0, 'name': 'migration/1', 'username': 'root'}
{'pid': 13, 'vms': 0.0, 'name': 'ksoftirqd/1', 'username': 'root'}
{'pid': 15, 'vms': 0.0, 'name': 'kworker/1:0H', 'username': 'root'}
{'pid': 16, 'vms': 0.0, 'name': 'watchdog/2', 'username': 'root'}
{'pid': 17, 'vms': 0.0, 'name': 'migration/2', 'username': 'root'}
{'pid': 18, 'vms': 0.0, 'name': 'ksoftirqd/2', 'username': 'root'}
{'pid': 20, 'vms': 0.0, 'name': 'kworker/2:0H', 'username': 'root'}
{'pid': 21, 'vms': 0.0, 'name': 'watchdog/3', 'username': 'root'}
{'pid': 22, 'vms': 0.0, 'name': 'migration/3', 'username': 'root'}
{'pid': 23, 'vms': 0.0, 'name': 'ksoftirqd/3', 'username': 'root'}
{'pid': 25, 'vms': 0.0, 'name': 'kworker/3:0H', 'username': 'root'}
{'pid': 26, 'vms': 0.0, 'name': 'kdevtmpfs', 'username': 'root'}
{'pid': 27, 'vms': 0.0, 'name': 'netns', 'username': 'root'}
{'pid': 28, 'vms': 0.0, 'name': 'perf', 'username': 'root'}
{'pid': 29, 'vms': 0.0, 'name': 'khungtaskd', 'username': 'root'}
{'pid': 30, 'vms': 0.0, 'name': 'writeback', 'username': 'root'}
{'pid': 31, 'vms': 0.0, 'name': 'ksmd', 'username': 'root'}
{'pid': 32, 'vms': 0.0, 'name': 'khugepaged', 'username': 'root'}
{'pid': 33, 'vms': 0.0, 'name': 'crypto', 'username': 'root'}
{'pid': 34, 'vms': 0.0, 'name': 'kintegrityd', 'username': 'root'}
{'pid': 35, 'vms': 0.0, 'name': 'bioset', 'username': 'root'}
{'pid': 36, 'vms': 0.0, 'name': 'kblockd', 'username': 'root'}
{'pid': 37, 'vms': 0.0, 'name': 'ata_sff', 'username': 'root'}
{'pid': 38, 'vms': 0.0, 'name': 'md', 'username': 'root'}
{'pid': 39, 'vms': 0.0, 'name': 'devfreq_wq', 'username': 'root'}
{'pid': 47, 'vms': 0.0, 'name': 'kswapd0', 'username': 'root'}
{'pid': 48, 'vms': 0.0, 'name': 'vmstat', 'username': 'root'}
{'pid': 49, 'vms': 0.0, 'name': 'fsnotify_mark', 'username': 'root'}
{'pid': 50, 'vms': 0.0, 'name': 'ecryptfs-kthrea', 'username': 'root'}
{'pid': 66, 'vms': 0.0, 'name': 'kthrotld', 'username': 'root'}
{'pid': 67, 'vms': 0.0, 'name': 'acpi_thermal_pm', 'username': 'root'}
{'pid': 69, 'vms': 0.0, 'name': 'bioset', 'username': 'root'}
{'pid': 70, 'vms': 0.0, 'name': 'bioset', 'username': 'root'}
{'pid': 71, 'vms': 0.0, 'name': 'bioset', 'username': 'root'}
{'pid': 72, 'vms': 0.0, 'name': 'bioset', 'username': 'root'}
{'pid': 73, 'vms': 0.0, 'name': 'bioset', 'username': 'root'}
{'pid': 74, 'vms': 0.0, 'name': 'bioset', 'username': 'root'}
{'pid': 75, 'vms': 0.0, 'name': 'bioset', 'username': 'root'}
{'pid': 76, 'vms': 0.0, 'name': 'bioset', 'username': 'root'}
{'pid': 80, 'vms': 0.0, 'name': 'ipv6_addrconf', 'username': 'root'}
{'pid': 94, 'vms': 0.0, 'name': 'deferwq', 'username': 'root'}
{'pid': 95, 'vms': 0.0, 'name': 'charger_manager', 'username': 'root'}
{'pid': 142, 'vms': 0.0, 'name': 'scsi_eh_0', 'username': 'root'}
{'pid': 143, 'vms': 0.0, 'name': 'scsi_tmf_0', 'username': 'root'}
{'pid': 144, 'vms': 0.0, 'name': 'nvme', 'username': 'root'}
{'pid': 145, 'vms': 0.0, 'name': 'scsi_eh_1', 'username': 'root'}
{'pid': 146, 'vms': 0.0, 'name': 'scsi_tmf_1', 'username': 'root'}
{'pid': 147, 'vms': 0.0, 'name': 'scsi_eh_2', 'username': 'root'}
