================================================================================
process logger: Thu May  9 16:31:35 2019
================================================================================

{'pid': 1, 'vms': 117.35546875, 'username': 'root', 'name': 'systemd'}
{'pid': 2, 'vms': 0.0, 'username': 'root', 'name': 'kthreadd'}
{'pid': 3, 'vms': 0.0, 'username': 'root', 'name': 'ksoftirqd/0'}
{'pid': 5, 'vms': 0.0, 'username': 'root', 'name': 'kworker/0:0H'}
{'pid': 7, 'vms': 0.0, 'username': 'root', 'name': 'rcu_sched'}
{'pid': 8, 'vms': 0.0, 'username': 'root', 'name': 'rcu_bh'}
{'pid': 9, 'vms': 0.0, 'username': 'root', 'name': 'migration/0'}
{'pid': 10, 'vms': 0.0, 'username': 'root', 'name': 'watchdog/0'}
{'pid': 11, 'vms': 0.0, 'username': 'root', 'name': 'watchdog/1'}
{'pid': 12, 'vms': 0.0, 'username': 'root', 'name': 'migration/1'}
{'pid': 13, 'vms': 0.0, 'username': 'root', 'name': 'ksoftirqd/1'}
{'pid': 15, 'vms': 0.0, 'username': 'root', 'name': 'kworker/1:0H'}
{'pid': 16, 'vms': 0.0, 'username': 'root', 'name': 'watchdog/2'}
{'pid': 17, 'vms': 0.0, 'username': 'root', 'name': 'migration/2'}
{'pid': 18, 'vms': 0.0, 'username': 'root', 'name': 'ksoftirqd/2'}
{'pid': 20, 'vms': 0.0, 'username': 'root', 'name': 'kworker/2:0H'}
{'pid': 21, 'vms': 0.0, 'username': 'root', 'name': 'watchdog/3'}
{'pid': 22, 'vms': 0.0, 'username': 'root', 'name': 'migration/3'}
{'pid': 23, 'vms': 0.0, 'username': 'root', 'name': 'ksoftirqd/3'}
{'pid': 25, 'vms': 0.0, 'username': 'root', 'name': 'kworker/3:0H'}
{'pid': 26, 'vms': 0.0, 'username': 'root', 'name': 'kdevtmpfs'}
{'pid': 27, 'vms': 0.0, 'username': 'root', 'name': 'netns'}
{'pid': 28, 'vms': 0.0, 'username': 'root', 'name': 'perf'}
{'pid': 29, 'vms': 0.0, 'username': 'root', 'name': 'khungtaskd'}
{'pid': 30, 'vms': 0.0, 'username': 'root', 'name': 'writeback'}
{'pid': 31, 'vms': 0.0, 'username': 'root', 'name': 'ksmd'}
{'pid': 32, 'vms': 0.0, 'username': 'root', 'name': 'khugepaged'}
{'pid': 33, 'vms': 0.0, 'username': 'root', 'name': 'crypto'}
{'pid': 34, 'vms': 0.0, 'username': 'root', 'name': 'kintegrityd'}
{'pid': 35, 'vms': 0.0, 'username': 'root', 'name': 'bioset'}
{'pid': 36, 'vms': 0.0, 'username': 'root', 'name': 'kblockd'}
{'pid': 37, 'vms': 0.0, 'username': 'root', 'name': 'ata_sff'}
{'pid': 38, 'vms': 0.0, 'username': 'root', 'name': 'md'}
{'pid': 39, 'vms': 0.0, 'username': 'root', 'name': 'devfreq_wq'}
{'pid': 47, 'vms': 0.0, 'username': 'root', 'name': 'kswapd0'}
{'pid': 48, 'vms': 0.0, 'username': 'root', 'name': 'vmstat'}
{'pid': 49, 'vms': 0.0, 'username': 'root', 'name': 'fsnotify_mark'}
{'pid': 50, 'vms': 0.0, 'username': 'root', 'name': 'ecryptfs-kthrea'}
{'pid': 66, 'vms': 0.0, 'username': 'root', 'name': 'kthrotld'}
{'pid': 67, 'vms': 0.0, 'username': 'root', 'name': 'acpi_thermal_pm'}
{'pid': 69, 'vms': 0.0, 'username': 'root', 'name': 'bioset'}
{'pid': 70, 'vms': 0.0, 'username': 'root', 'name': 'bioset'}
{'pid': 71, 'vms': 0.0, 'username': 'root', 'name': 'bioset'}
{'pid': 72, 'vms': 0.0, 'username': 'root', 'name': 'bioset'}
{'pid': 73, 'vms': 0.0, 'username': 'root', 'name': 'bioset'}
